0	0	0	0
0	1	340	340
0	2	128	128
0	3	408	408
0	4	94	94
0	5	5236	5236
0	6	5252	5252
0	7	7851	7851
0	8	7602	7602
0	9	7711	7711
0	10	7927	7927
0	11	7949	7949
0	12	7830	7830
0	13	7998	7998
0	14	8587	8587
0	15	7562	7562
0	16	7647	7647
0	17	7076	7076
0	18	7588	7588
0	19	7763	7763
0	20	7569	7569
0	21	7713	7713
0	22	6963	6963
0	23	10279	10279
0	24	2315	2315
0	25	1802	1802
0	26	1804	1804
0	27	861	861
0	28	738	738
0	29	1594	1594
0	30	90	90
0	31	491	491
0	32	454	454
0	33	389	389
0	34	505	505
0	35	599	599
0	36	432	432
0	37	405	405
0	38	7261	7261
0	39	8160	8160
0	40	8280	8280
0	41	8193	8193
0	42	8040	8040
0	43	8139	8139
0	44	8090	8090
0	45	1478	1478
0	46	1423	1423
0	47	1310	1310
0	48	1406	1406
0	49	1230	1230
0	50	1167	1167
0	51	1286	1286
0	52	1537	1537
0	53	1358	1358
0	54	1111	1111
0	55	1877	1877
0	56	1890	1890
0	57	1640	1640
0	58	1860	1860
0	59	1754	1754
0	60	2395	2395
0	61	2186	2186
0	62	2364	2364
0	63	2462	2462
0	64	2541	2541
0	65	2486	2486
0	66	2426	2426
0	67	2323	2323
0	68	2153	2153
0	69	2110	2110
0	70	1858	1858
0	71	2037	2037
0	72	2047	2047
0	73	2211	2211
0	74	1939	1939
0	75	1914	1914
0	76	1827	1827
0	77	1700	1700
0	78	1804	1804
0	79	2253	2253
0	80	2698	2698
0	81	2230	2230
0	82	2226	2226
0	83	2242	2242
0	84	2231	2231
0	85	2003	2003
0	86	1978	1978
0	87	1984	1984
0	88	1727	1727
0	89	1782	1782
0	90	494	494
0	91	504	504
0	92	483	483
0	93	490	490
0	94	418	418
0	95	321	321
0	96	222	222
0	97	191	191
0	98	153	153
0	99	112	112
0	100	115	115
0	101	244	244
0	102	197	197
0	103	248	248
0	104	316	316
0	105	259	259
0	106	415	415
0	107	244	244
0	108	289	289
0	109	1914	1914
0	110	1878	1878
0	111	374	374
0	112	1379	1379
0	113	1449	1449
0	114	835	835
0	115	821	821
0	116	984	984
0	117	2157	2157
0	118	2059	2059
0	119	2227	2227
0	120	2297	2297
0	121	2415	2415
0	122	1467	1467
0	123	286	286
0	124	329	329
0	125	397	397
0	126	811	811
0	127	986	986
0	128	1031	1031
0	129	1244	1244
0	130	1427	1427
0	131	1337	1337
0	132	1271	1271
0	133	1404	1404
0	134	1303	1303
0	135	1523	1523
0	136	856	856
0	137	739	739
0	138	864	864
0	139	965	965
0	140	975	975
0	141	999	999
0	142	1236	1236
0	143	1118	1118
0	144	1161	1161
0	145	1340	1340
0	146	1413	1413
0	147	1346	1346
0	148	1456	1456
0	149	1766	1766
0	150	1513	1513
0	151	1302	1302
0	152	1261	1261
0	153	1250	1250
0	154	1932	1932
0	155	2025	2025
0	156	2232	2232
0	157	2245	2245
0	158	2056	2056
0	159	1466	1466
