0	0	0	0
0	1	1595	1595
0	2	3378	3378
0	3	5409	5409
0	4	7017	7017
0	5	9152	9152
0	6	11066	11066
1	0	1595	1595
1	1	0	0
1	2	1783	1783
1	3	3814	3814
1	4	5422	5422
1	5	7557	7557
1	6	9470	9470
2	0	3378	3378
2	1	1783	1783
2	2	0	0
2	3	2031	2031
2	4	3639	3639
2	5	5774	5774
2	6	7688	7688
3	0	5409	5409
3	1	3814	3814
3	2	2031	2031
3	3	0	0
3	4	1608	1608
3	5	3743	3743
3	6	5656	5656
4	0	7017	7017
4	1	5422	5422
4	2	3639	3639
4	3	1608	1608
4	4	0	0
4	5	2171	2171
4	6	4084	4084
5	0	9152	9152
5	1	7557	7557
5	2	5774	5774
5	3	3743	3743
5	4	2171	2171
5	5	0	0
5	6	1913	1913
6	0	11066	11066
6	1	9470	9470
6	2	7688	7688
6	3	5656	5656
6	4	4084	4084
6	5	1913	1913
6	6	0	0
